Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
4,2024-03-16 00:00:00,Arena match,bug: Timer froze at 66,timer continues till player is done with turn,timer froze and now cant do anything,Yes,Yes,Kevin Chaja
5,2024-03-16 00:00:00,Arena match,Bug: volume keys for setting on a match doesnot work,volume mute or higher,nothing after shows that volume should be muted,Yes,no,Kevin Chaja
,,,,,,,,Kevin Chaja
1,2024-03-20 00:00:00,UI,Window size not fitted,window size fitted to screen,"didn’t fit, zoomed in",yes,no,Kevin Chaja
1,2024-03-18 00:00:00,UI,Bug: Settings,Close settings tab when hitting the x button,Would not close,Yes,No,Kevin Chaja
2,2024-03-18 00:00:00,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Kevin Chaja
3,2024-03-18 00:00:00,UI,Bug: Tutorial coins,Show that you receive the coins/ indicator of the amount of coins you have,Nothing to show anywhere in the menu other that the tutorial says you have completed it,No,No,Kevin Chaja
0,2024-03-16 00:00:00,Adventure,clicking on back icon,take me to home page,nothing,yes,no,Kevin Chaja
1,2024-03-16 00:00:00,Adventure/ Select,click on level,show me level objective,nothing,yes,no,Kevin Chaja
2,2024-03-16 00:00:00,Adventure/ Select,click on deck builder,take me to deck builder,nothing,yes,no,Kevin Chaja
0,"Use date you 
 tested on
 2/19/2024",Login/UI/Game/Main Page,"Type the bug or user case to note here
 ex bug: clicking exit doesn't exit
 ex user case: timers take too long",What you expect to happen,What actually happened,yes/no,Yes/no,"Your name
 ex: Kevin Chaja"
1,2024-03-08 00:00:00,Authenticating,Stuck on Authentication,Expected to authenticate me,It got stuck on the authenticating page,no,Yes,Kevin Chaja
2,2024-03-08 00:00:00,Log in,high volume of users,Expected to log in after authentication,pop up error: Due to the high volume of users not able to process,no,Yes,Kevin Chaja
3,2024-03-08 00:00:00,Log in,log in loading,Expected to log in,It got stuck in loging in page,yes,yes,Kevin Chaja
1,2024-02-27 00:00:00,Login/UI/Game/FindMatch  Login/UI/Game/training,"Bug: Whenever I try to find a match online or go to the training, the game does not load into the game, and is just stuck loading the match",I would get in a match,The game does not load into the match,Yes,Yes,Kevin Chaja
2,2024-02-25 00:00:00,Login/UI/Game/Build Deck,"User case: As a user, when I went to go build a deck, I found the UI kind of confusing at first. I didn't really know how much cards has to be in a deck and first time I built a deck, I didn't know I had to have it saved and selected before finding a match.  Took a little bit of playing with, but I understand how it works now.","I kind of expected at first when I build a deck, it would show the number of cards I have in the deck as well as expecting a drag and drop system for building decks. I also expected that the deck would automatically save when I exit, or at least a pop up reminder to save.","In order to build a deck, users have to selected a card and a menu pops up prompting the user to add or remove card. If the user adds, they must exit the card menu and the card will then be displayed in the deck. There are no indicators on how much cards there needs to be in the deck. The only indicator will appear when you save a deck and the menu tells you that you don't have enough cards and tells you how many more cards are needed. When saving a deck, you must name it and it is only after you exit the build deck menu where you gotta select the deck you want to use when you play a game",Yes,No,Kevin Chaja
3,2024-02-25 00:00:00,Login/UI/Game/Tutorial,"Bug?: After completing the tutorial, I went back to play it again. However, it seems that the tutorial acts as a training ground however, you only have limited amount of cards, leading to a point during the game where both the players and the AI have no cards meaning both cannot draw new ones. If the AI runs out of cards and doesn't have any cards to draw, the AI opponent is stuck in the drawing phase and rather than switching turns,the AI just stays and waits the entire turn. The player must wait until the opponents turn is over, and is either stuck doing nothing or attacks the enemy only to switch turns and wait until the enemy's timer to finish to switch to their turn.",I was expecting to get more cards in the tutorial instead of a limited amount rather than having to wait for the opponents clock to finish because they also can't draw any cards,I had to wait the entire opponents turn to make a move cause they didn't want to skip,Yes,No,Kevin Chaja
